A	C	G	S	#	File
X	X	X	X	4	bandage.png
X	X	X	X	4	baseball bat.png
X	X	X	X	4	bejewelled book.png
X	X	X	X	4	credit card.png
X	X	X	X	4	frisbee.png
X	X	X	X	4	healer's satchel.png
X	X	X	X	4	mooshroom.png
X	X	X	X	4	pill.png
X	X	X	X	4	plastic bat.png
X	X	X	X	4	plastic hammer.png
X	X	X	X	4	plastic wand.png
X	X	X	X	4	railgun.png
X	X	X	X	4	sink.png
X	X	X	X	4	smouldering book.png
X	X	X	X	4	stethoscope.png
X	X	X	X	4	strange object.png
X	X	X	X	4	tin opener.png
X	X	X	X	4	toilet.png
X	X	X	X	4	towel.png
X	X	X	X	4	yoyo.png
X	X	 	X	3	burgundy book.png
X	X	 	X	3	froster.png
X	X	 	X	3	holy book.png
X	X	 	X	3	igniter.png
X	X	 	X	3	pentagram book.png
X	X	 	X	3	perforated book.png
X	X	 	X	3	shredded book.png
 	X	 	X	2	pine.png
X	 	 	 	1	air.png
 	 	 	X	1	balrog original.png
X	 	 	 	1	chest.png
 	X	 	 	1	earth mage.png
 	X	 	 	1	flame mage.png
X	 	 	 	1	gold coin 1.png
X	 	 	 	1	gold coin 2.png
X	 	 	 	1	gold coin 3.png
X	 	 	 	1	gold coin 4.png
X	 	 	 	1	gold coin 5.png
X	 	 	 	1	gold coin 6.png
 	X	 	 	1	grand stairs down.png
 	X	 	 	1	grand stairs up.png
 	 	 	X	1	Huhetotl original.png
 	X	 	 	1	ice mage.png
 	 	 	X	1	ink strike.png
 	 	 	X	1	iron door locked.png
 	 	 	X	1	iron door opened.png
 	 	 	X	1	iron door trapped.png
 	 	 	X	1	iron door unlocked.png
 	 	 	X	1	jackinthebox_closed.png
 	 	 	X	1	jackinthebox_dab.png
 	 	 	X	1	jackinthebox_glove.png
 	 	 	X	1	jackinthebox_open.png
 	 	 	X	1	jackinthebox_pie.png
 	 	 	X	1	juggling club 1.png
 	 	 	X	1	juggling club 2.png
 	 	 	X	1	juggling club 3.png
 	 	 	X	1	juggling club 4.png
X	 	 	 	1	large box.png
X	 	 	 	1	lefthanded book.png
 	X	 	 	1	legacy wooden door broken.png
 	X	 	 	1	legacy wooden door closed horizontal.png
 	X	 	 	1	legacy wooden door closed vertical.png
 	X	 	 	1	legacy wooden door locked horizontal.png
 	X	 	 	1	legacy wooden door locked vertical.png
 	X	 	 	1	legacy wooden door open horizontal.png
 	X	 	 	1	legacy wooden door open vertical.png
 	X	 	 	1	legacy wooden door trapped horizontal.png
 	X	 	 	1	legacy wooden door trapped vertical.png
 	 	 	X	1	mirror beam backward slant.png
 	 	 	X	1	mirror beam forward slant.png
 	 	 	X	1	mirror beam horizontal.png
 	 	 	X	1	mirror beam vertical.png
 	 	 	X	1	mirror0.png
 	 	 	X	1	mirror1.png
 	 	 	X	1	mirror2.png
 	 	 	X	1	mirror3.png
 	 	 	X	1	mirror4.png
 	 	 	X	1	mirror5.png
 	 	 	X	1	mirror6.png
 	 	 	X	1	mirror7.png
 	X	 	 	1	mithil rapier.png
 	 	 	X	1	new beam backward slant.png
 	 	 	X	1	new beam forward slant.png
 	 	 	X	1	new beam horizontal.png
 	 	 	X	1	new beam vertical.png
 	 	 	X	1	new explosion bottom center.png
 	 	 	X	1	new explosion bottom left.png
 	 	 	X	1	new explosion bottom right.png
 	 	 	X	1	new explosion middle center.png
 	 	 	X	1	new explosion middle left.png
 	 	 	X	1	new explosion middle right.png
 	 	 	X	1	new explosion top center.png
 	 	 	X	1	new explosion top left.png
 	 	 	X	1	new explosion top right.png
 	 	 	X	1	oil original.png
 	 	 	X	1	platonics air.png
 	 	 	X	1	platonics dark.png
 	 	 	X	1	platonics earth.png
 	 	 	X	1	platonics fire.png
 	 	 	X	1	platonics light.png
 	 	 	X	1	platonics sky.png
 	 	 	X	1	platonics water.png
X	 	 	 	1	psychedelic book.png
 	 	 	X	1	Runesword alternate.png
X	 	 	 	1	spiralbound book.png
X	 	 	 	1	stapled book.png
 	X	 	 	1	statue gargoyle.png
X	 	 	 	1	tartan book.png
 	 	 	X	1	treant 1.png
 	 	 	X	1	treant 2.png
 	X	 	 	1	water mage.png
 	 	 	X	1	water moccasin alternate.png
